100 200
1 2 200
1 16 948
1 80 380
2 3 200
2 15 306
3 4 200
3 48 1061
4 5 200
5 6 200
5 94 945
6 7 200
6 13 657
6 66 767
6 71 983
6 84 807
7 8 200
7 47 713
7 60 233
7 74 169
7 86 925
8 9 200
9 10 200
9 14 168
9 44 360
10 8 456
10 11 200
11 12 200
11 73 1038
11 74 370
11 83 634
12 13 200
12 100 807
13 12 824
13 14 200
13 58 214
14 13 499
14 15 200
14 70 780
15 14 1095
15 16 200
15 29 367
16 17 200
16 37 872
16 73 339
16 82 913
17 18 200
18 2 520
18 19 200
19 11 560
19 20 200
19 25 415
19 26 165
19 50 487
19 56 503
20 2 372
20 21 200
20 23 353
21 22 200
22 12 568
22 23 200
22 55 719
23 24 200
23 47 582
23 73 604
24 25 200
25 26 200
26 27 200
26 68 131
27 28 200
27 43 554
27 44 962
27 48 795
27 62 492
28 29 200
29 11 177
29 30 200
29 64 334
29 73 711
30 15 799
30 31 200
30 81 145
30 94 411
31 10 470
31 11 609
31 15 835
31 32 200
31 36 655
31 89 639
32 1 830
32 33 200
32 50 341
32 67 1057
33 34 200
33 46 440
33 93 754
33 100 477
34 35 200
34 73 649
35 30 645
35 36 200
36 8 277
36 23 865
36 37 200
36 46 1021
36 59 805
36 70 829
36 77 501
36 87 203
37 22 622
37 38 200
38 39 200
39 40 200
39 57 1042
39 61 681
39 73 941
39 96 558
40 17 628
40 24 687
40 39 883
40 41 200
40 71 943
41 35 159
41 42 200
42 43 200
42 57 386
42 90 317
43 44 200
43 78 455
44 18 342
44 36 458
44 45 200
45 46 200
46 39 781
46 47 200
46 61 870
46 92 747
47 48 200
47 98 823
48 39 864
48 49 200
48 56 547
49 10 977
49 29 160
49 50 200
50 51 200
50 97 853
50 98 519
51 34 830
51 46 869
51 52 200
51 91 166
51 100 829
52 16 409
52 29 472
52 30 251
52 53 200
52 56 837
52 75 597
53 47 352
53 54 200
53 65 659
53 98 229
54 20 339
54 38 770
54 45 819
54 55 200
54 73 440
54 77 1019
54 83 662
55 30 353
55 34 844
55 56 200
55 91 1044
56 1 774
56 23 1061
56 37 749
56 57 200
57 9 942
57 25 725
57 58 200
58 59 200
58 86 269
59 34 723
59 60 200
60 17 183
60 61 200
61 62 200
62 31 1046
62 63 200
62 68 620
62 69 185
62 71 968
63 16 690
63 64 200
64 65 200
65 64 885
65 66 200
65 83 658
65 91 1071
66 15 405
66 43 506
66 67 200
66 90 188
67 68 200
67 76 568
68 69 200
68 96 193
69 5 652
69 70 200
70 14 629
70 71 200
71 54 744
71 63 392
71 72 200
72 45 350
72 73 200
73 74 200
73 94 834
74 60 965
74 75 200
74 81 630
75 76 200
76 52 829
76 70 443
76 77 200
77 11 541
77 78 200
78 44 834
78 79 200
78 90 246
79 44 1044
79 72 873
79 80 200
80 78 1007
80 81 200
80 89 404
81 82 200
82 21 1052
82 62 976
82 83 200
82 84 901
83 31 793
83 68 392
83 84 200
84 12 731
84 23 800
84 26 311
84 29 378
84 45 887
84 85 200
85 32 820
85 86 200
86 87 200
86 98 212
86 99 782
87 12 887
87 42 897
87 88 200
87 93 1073
88 22 749
88 61 529
88 89 200
89 90 200
90 5 262
90 16 706
90 52 395
90 91 200
90 100 396
91 14 1054
91 92 200
92 93 200
93 42 871
93 83 313
93 94 200
94 64 642
94 65 1030
94 69 126
94 86 195
94 95 200
95 12 670
95 91 1092
95 96 200
96 4 141
96 32 513
96 50 567
96 97 200
97 1 236
97 87 258
97 98 200
98 26 903
98 77 151
98 99 200
99 93 714
99 100 200
100 1 200
100 28 319
100 49 573
100 67 289
100 85 318
