20 100
1 2 40
1 6 164
1 7 878
1 9 317
1 10 344
1 18 1008
1 20 282
2 3 40
2 8 492
2 11 605
2 13 29
2 18 727
2 19 216
3 1 570
3 4 40
3 5 188
3 11 956
3 12 713
3 13 301
3 15 914
3 17 77
4 3 431
4 5 40
4 7 111
4 8 506
4 10 444
4 12 161
4 14 905
4 17 481
4 18 319
4 19 895
5 4 490
5 6 40
6 3 728
6 7 40
6 8 559
6 15 86
6 17 371
7 8 40
7 9 921
7 15 76
7 17 878
7 18 276
7 19 830
8 2 590
8 6 540
8 7 597
8 9 40
8 17 994
8 18 565
9 4 483
9 7 766
9 10 40
9 18 162
10 6 509
10 7 642
10 8 620
10 11 40
10 12 409
10 15 781
10 18 150
10 19 970
10 20 462
11 9 1002
11 12 40
11 15 571
12 1 417
12 2 335
12 4 960
12 11 843
12 13 40
12 14 565
12 15 951
12 17 958
12 18 659
13 4 361
13 8 452
13 14 40
14 1 196
14 2 343
14 4 557
14 12 66
14 13 144
14 15 40
14 16 539
14 19 831
15 6 245
15 12 493
15 16 40
15 17 381
16 3 986
16 17 40
17 5 632
17 7 941
17 9 935
17 15 485
17 18 40
17 19 757
18 3 924
18 13 142
18 19 40
19 1 409
19 4 146
19 7 809
19 11 942
19 12 620
19 16 449
19 20 40
20 1 40
20 7 930
20 8 564
20 9 929
20 10 953
20 12 376
20 14 203
20 18 327
