500 2000
1 2 1000
1 212 645
1 245 820
1 463 609
1 488 799
2 3 1000
2 32 752
2 93 576
2 188 528
2 352 857
3 4 1000
3 297 1022
4 5 1000
4 121 830
4 254 935
4 380 1173
5 6 1000
5 206 1128
6 7 1000
6 85 1339
6 97 735
6 127 888
6 222 1435
6 500 1113
7 8 1000
7 61 1420
7 85 1073
7 251 642
7 483 887
8 9 1000
8 380 935
8 439 651
8 494 1116
9 10 1000
9 39 534
9 238 555
9 244 596
9 447 1357
9 476 1177
9 488 796
10 11 1000
10 58 819
10 216 586
10 334 803
10 348 1196
10 350 610
10 353 1257
10 449 938
11 12 1000
11 48 835
11 57 1225
11 281 1279
11 292 668
11 313 576
11 327 657
12 13 1000
12 38 1311
12 105 1067
12 286 713
12 406 1451
13 14 1000
13 63 1448
13 89 1449
13 177 1096
13 283 757
13 392 1272
13 447 1051
14 15 1000
14 21 1202
14 100 1424
14 441 1439
15 16 1000
15 48 1460
15 113 1215
15 212 1111
15 213 786
15 260 1355
15 344 933
15 374 1387
16 17 1000
16 167 1101
16 174 680
17 18 1000
17 117 614
17 141 1312
17 290 1123
18 13 769
18 19 1000
18 75 1449
18 170 1240
18 303 837
18 359 1245
18 362 1490
18 416 1052
19 20 1000
19 137 1205
19 196 648
19 236 584
19 346 1123
20 21 1000
20 74 512
20 109 749
20 125 587
20 137 1360
20 200 1109
20 288 1443
20 307 1373
20 332 1075
20 489 568
21 22 1000
21 49 996
21 86 621
21 115 722
21 203 1078
22 23 1000
22 111 953
22 347 836
22 357 945
23 10 1074
23 24 1000
23 101 552
23 354 906
24 25 1000
24 149 539
24 166 1180
24 188 1342
24 263 713
25 26 1000
25 482 973
26 27 1000
26 88 550
26 324 1075
26 335 928
26 371 665
27 28 1000
27 53 666
27 92 1444
27 144 780
28 29 1000
28 82 1004
28 113 1097
28 181 742
29 30 1000
29 36 628
29 118 518
29 353 1431
30 6 1007
30 31 1000
30 63 546
30 422 693
30 476 851
31 32 1000
31 118 1497
32 33 1000
32 214 948
32 296 888
32 303 1077
32 330 975
33 34 1000
33 144 889
33 205 1324
33 277 1266
33 416 1303
33 446 614
33 483 1288
34 35 1000
34 151 662
34 157 737
34 408 872
34 487 912
35 36 1000
35 56 1135
35 142 623
35 171 1335
35 226 624
36 37 1000
36 53 695
36 299 965
36 442 654
37 38 1000
37 144 817
37 346 839
37 355 819
37 363 1243
37 467 1234
38 39 1000
38 449 1054
39 40 1000
39 354 603
39 379 1089
40 27 1156
40 41 1000
40 50 1397
40 82 1100
40 113 1127
40 370 506
40 424 548
41 42 1000
