100 300
1 2 200
1 23 195
1 43 1037
1 79 904
2 3 200
2 5 285
3 4 200
3 9 594
3 83 610
4 5 200
4 22 1026
4 35 356
4 49 747
4 77 819
4 97 363
5 6 200
5 33 950
6 7 200
6 23 127
6 68 873
6 69 773
6 84 314
6 96 975
7 8 200
7 14 717
7 34 489
8 9 200
8 39 766
8 80 431
9 10 200
9 87 885
10 11 200
10 33 199
10 75 387
10 99 821
11 12 200
11 40 844
11 94 373
12 3 787
12 13 200
12 49 932
12 81 575
13 14 200
13 43 541
13 64 175
13 65 691
14 15 200
14 17 831
14 67 1023
15 16 200
15 90 316
16 11 938
16 17 200
16 67 128
17 18 200
17 24 334
17 54 130
17 98 745
18 6 274
18 19 200
18 28 910
18 57 433
18 95 747
18 96 171
19 20 200
19 38 360
19 40 1094
19 56 632
19 97 722
20 21 200
20 28 708
20 48 789
20 89 994
21 3 638
21 22 200
21 76 584
21 80 712
22 11 448
22 14 198
22 23 200
22 48 1003
22 69 863
22 90 351
22 95 897
23 24 200
23 47 329
23 51 249
23 56 1095
23 64 998
23 68 210
23 83 286
24 25 200
24 42 637
24 43 414
24 78 972
24 89 225
25 11 377
25 12 201
25 26 200
25 53 916
25 85 917
25 92 316
26 12 700
26 27 200
26 36 371
26 45 248
27 19 155
27 21 351
27 28 200
27 30 938
28 29 200
29 30 200
29 86 401
30 31 200
30 42 1025
30 57 865
30 96 334
30 98 392
31 12 881
31 32 200
31 47 642
31 73 541
32 33 200
33 12 848
33 22 1088
33 34 200
33 51 349
33 86 747
34 35 200
35 36 200
36 13 979
36 37 200
36 70 329
37 38 200
37 54 102
37 80 617
37 97 830
38 5 603
38 9 139
38 10 1063
38 39 200
38 72 987
39 38 1063
39 40 200
40 39 1061
40 41 200
40 48 441
41 3 506
41 42 200
41 78 843
42 2 540
42 31 993
42 41 379
42 43 200
42 63 276
42 66 1025
42 67 708
43 1 702
43 44 200
43 96 321
44 45 200
45 10 1066
45 22 545
45 36 740
45 46 200
45 90 918
46 16 1066
46 47 200
46 48 974
46 52 926
46 73 1027
47 48 200
48 4 593
48 19 184
48 49 200
49 33 1013
49 46 876
49 50 200
49 85 1007
50 9 355
50 38 750
50 51 200
50 88 291
51 15 917
51 28 447
51 52 200
51 55 724
51 94 1021
52 10 851
52 46 669
52 53 200
52 55 893
52 60 229
52 79 1081
53 34 966
53 45 621
53 52 257
53 54 200
53 57 676
54 55 200
54 65 767
54 83 913
55 24 747
55 29 1058
55 56 200
55 72 954
55 75 649
55 85 479
56 34 600
56 57 200
56 63 1002
56 80 365
56 86 882
56 95 851
57 58 200
58 3 227
58 10 552
58 59 200
58 67 446
59 4 624
59 11 373
59 21 722
59 36 888
59 40 916
59 56 867
59 57 596
59 60 200
60 35 697
60 61 200
61 22 451
61 40 186
61 42 706
61 52 523
61 62 200
61 69 965
62 63 200
62 66 765
62 99 281
63 48 447
63 64 200
63 85 943
63 88 653
63 90 390
64 12 926
64 65 200
65 22 879
65 66 200
65 81 1002
65 90 580
65 95 1035
66 61 522
66 67 200
66 77 113
66 90 447
67 8 866
67 34 851
67 52 257
67 68 200
67 87 537
68 37 995
68 69 200
69 3 409
69 8 315
69 54 239
69 70 200
70 11 1026
70 17 271
70 29 714
70 34 296
70 46 838
70 71 200
70 78 756
70 99 398
71 4 1096
71 9 637
71 72 200
71 87 797
71 89 904
72 40 640
72 67 700
72 73 200
72 97 525
73 23 343
73 44 189
73 57 144
73 74 200
73 92 427
73 100 499
74 28 115
74 75 200
75 5 808
75 25 515
75 56 1050
75 57 742
75 72 1097
75 76 200
76 7 347
76 22 918
76 26 109
76 45 629
76 77 200
76 93 423
77 11 834
77 14 834
77 30 410
77 37 366
77 47 590
77 78 200
77 82 698
78 21 1097
78 61 892
78 79 200
78 95 424
79 67 545
79 80 200
79 94 473
80 41 1063
80 81 200
80 100 1082
81 29 950
81 40 728
81 41 358
81 77 404
81 82 200
82 36 862
82 83 200
83 33 981
83 37 501
83 51 148
83 52 445
83 54 653
83 56 691
83 82 767
83 84 200
83 85 534
84 52 193
84 85 200
85 15 163
85 86 200
86 87 200
87 11 674
87 88 200
88 35 539
88 46 777
88 60 772
88 86 688
88 89 200
89 13 436
89 25 309
89 27 859
89 28 616
89 90 200
89 91 491
90 52 367
90 73 592
90 87 1041
90 91 200
91 3 169
91 34 910
91 89 146
91 92 200
92 20 391
92 26 657
92 33 825
92 42 211
92 44 409
92 93 200
93 19 567
93 55 234
93 56 897
93 71 1097
93 86 131
93 94 200
93 97 217
94 36 202
94 61 934
94 95 200
95 96 200
96 3 151
96 4 492
96 28 880
96 97 200
97 15 287
97 75 585
97 98 200
98 40 245
98 68 171
98 80 200
98 99 200
99 31 109
99 34 959
99 68 350
99 79 898
99 81 371
99 100 200
100 1 200
100 21 376
100 69 663
100 91 954
