50 300
1 2 100
1 19 141
1 23 262
1 30 1009
1 32 174
1 45 254
2 3 100
2 13 914
2 14 429
2 25 953
2 39 183
2 44 615
2 48 481
2 50 389
3 4 100
3 11 1046
3 12 175
3 13 582
3 20 91
3 24 593
3 40 100
3 42 1001
4 2 377
4 5 100
4 11 1045
4 28 819
4 33 115
4 37 88
4 40 427
4 46 732
4 50 118
5 6 100
5 17 627
5 24 1044
5 30 757
5 35 100
5 37 682
5 43 405
5 45 99
6 2 993
6 7 100
6 24 658
6 31 301
6 37 784
7 1 922
7 8 100
7 18 605
7 32 187
7 33 730
7 34 208
8 6 390
8 7 989
8 9 100
8 10 366
8 15 311
8 45 989
9 1 335
9 4 963
9 10 100
9 12 789
9 17 598
9 18 612
9 34 194
9 35 404
9 44 648
10 2 451
10 6 943
10 11 100
10 16 209
10 20 414
11 12 100
11 13 925
11 30 990
11 41 462
12 2 1005
12 9 241
12 13 100
12 15 771
12 22 375
12 49 512
13 3 986
13 14 100
13 16 862
13 22 192
13 36 621
13 38 351
13 43 293
14 15 100
14 16 361
14 19 381
14 26 194
14 34 967
15 8 338
15 14 451
15 16 100
15 18 187
15 24 503
15 28 1044
15 40 328
15 43 431
16 8 554
16 12 1005
16 17 100
16 42 449
16 47 309
17 6 791
17 9 764
17 10 579
17 18 100
17 19 414
17 21 149
18 6 725
18 7 212
18 19 100
18 27 648
18 33 200
18 42 214
18 49 784
19 6 136
19 17 598
19 20 100
19 42 177
19 43 879
19 44 465
19 49 329
20 19 268
20 21 100
20 22 914
20 25 858
20 30 622
20 35 281
20 38 125
20 41 991
20 44 888
20 45 785
20 46 952
20 49 416
21 13 180
21 22 100
21 31 932
21 42 152
21 45 1034
21 49 435
22 5 182
22 6 278
22 11 1038
22 20 149
22 23 100
22 29 68
22 34 176
23 7 347
23 12 838
23 15 87
23 20 324
23 24 100
23 27 333
23 36 300
23 39 918
23 40 127
23 47 956
24 4 722
24 22 298
24 23 342
24 25 100
24 34 453
24 38 594
24 48 892
25 26 100
25 34 430
25 45 662
26 2 803
26 5 222
26 10 284
26 14 526
26 27 100
26 33 917
26 35 574
26 46 1031
26 47 942
26 50 182
27 4 88
27 17 611
27 28 100
27 31 545
27 34 682
27 46 534
28 12 949
28 16 750
28 29 100
28 35 346
28 38 372
28 40 505
28 42 491
28 50 1014
29 20 320
29 24 937
29 26 321
29 30 100
29 35 408
29 37 78
29 40 114
29 44 907
29 46 459
29 48 418
29 49 306
30 2 143
30 11 856
30 13 306
30 27 137
30 31 100
31 6 809
31 8 805
31 14 360
31 15 979
31 16 718
31 20 137
31 21 483
31 26 544
31 27 676
31 30 730
31 32 100
32 2 762
32 9 311
32 33 100
32 34 847
32 41 928
32 48 417
32 50 595
33 2 50
33 13 657
33 20 543
33 34 100
33 37 500
33 44 650
33 50 63
34 4 583
34 6 776
34 14 352
34 15 304
34 27 791
34 35 100
34 36 342
34 37 914
34 40 577
35 6 547
35 13 627
35 14 920
35 16 538
35 17 116
35 19 897
35 26 144
35 28 236
35 34 814
35 36 100
35 37 575
35 48 397
36 1 141
36 2 967
36 23 1020
36 31 1003
36 37 100
36 45 255
36 46 1020
37 15 453
37 22 799
37 27 1010
37 32 731
37 38 100
37 42 724
37 45 885
38 3 1045
38 24 146
38 39 100
38 44 286
38 45 934
39 10 525
39 14 688
39 32 660
39 40 100
40 8 288
40 11 509
40 12 975
40 41 100
40 48 854
41 6 635
41 11 95
41 27 817
41 33 952
41 42 100
42 15 363
42 17 348
42 19 96
42 32 758
42 33 687
42 38 267
42 43 100
42 45 365
43 19 113
43 25 988
43 33 87
43 37 355
43 44 100
43 45 749
43 46 514
43 48 926
44 12 307
44 13 442
44 16 914
44 25 754
44 30 527
44 45 100
44 46 427
44 50 622
45 11 687
45 20 833
45 33 301
45 36 897
45 43 405
45 44 406
45 46 100
46 8 432
46 32 196
46 37 297
46 43 949
46 47 100
46 48 125
47 2 845
47 16 525
47 35 837
47 48 100
48 13 576
48 14 724
48 32 724
48 33 55
48 42 946
48 43 241
48 46 409
48 49 100
49 1 717
49 12 246
49 14 88
49 23 512
49 39 591
49 50 100
50 1 100
50 24 422
50 46 784
50 48 631
