200 800
1 2 400
1 65 940
1 101 344
1 154 1168
2 3 400
2 21 905
2 25 1113
2 66 378
2 120 406
2 126 425
2 147 1014
3 4 400
3 19 1148
3 71 310
3 73 829
3 143 347
4 5 400
4 22 246
4 34 792
4 53 877
4 54 884
4 71 294
4 96 771
4 187 277
5 6 400
5 169 1187
6 7 400
6 55 1116
6 100 1012
6 105 1192
7 8 400
7 39 1012
7 57 284
7 102 931
7 113 487
7 147 1045
8 9 400
8 22 943
8 41 552
8 131 439
8 188 715
8 189 971
9 10 400
9 11 1043
9 16 1193
9 60 249
9 62 399
9 67 253
9 155 585
9 195 954
10 11 400
10 55 516
10 135 1165
10 164 790
11 3 1151
11 12 400
11 32 777
11 99 997
11 109 213
11 171 488
11 190 1134
12 13 400
12 63 1021
12 97 1169
12 133 594
13 14 400
13 21 472
13 35 1076
13 39 739
13 104 1179
13 129 657
13 195 816
14 15 400
14 99 450
14 129 487
14 135 409
14 179 842
15 16 400
15 51 677
15 92 388
15 165 510
15 185 478
16 17 400
16 32 751
17 18 400
17 88 745
17 166 531
17 173 1131
17 177 591
18 19 400
18 55 895
18 68 1171
18 156 390
19 15 1092
19 20 400
19 35 726
19 104 849
19 188 1048
20 21 400
20 59 262
20 79 1024
20 109 373
21 2 1176
21 22 400
21 36 711
21 38 311
21 60 777
21 117 754
21 142 234
21 198 209
22 8 629
22 23 400
22 38 1189
22 62 272
22 68 1184
22 99 706
23 24 400
23 30 979
23 57 488
23 62 475
23 113 757
23 149 834
23 152 874
23 170 859
23 186 475
24 25 400
24 26 686
24 189 779
25 19 810
25 26 400
25 75 1067
26 9 808
26 16 283
26 23 736
26 27 400
26 85 251
26 130 847
26 189 301
27 10 953
27 28 400
27 124 977
27 128 590
27 171 954
27 197 726
28 12 1135
28 18 680
28 29 400
28 101 437
28 165 556
29 4 1119
29 30 400
29 110 851
29 115 1108
29 124 1199
29 159 546
29 178 490
30 31 400
30 117 412
30 184 587
31 13 386
31 32 400
31 131 368
31 169 231
32 33 400
32 43 782
32 80 584
32 116 320
32 195 1067
33 34 400
33 48 413
33 156 537
33 195 400
34 28 345
34 33 897
34 35 400
34 144 1091
35 36 400
35 63 409
35 194 678
36 3 228
36 37 400
36 52 416
36 55 217
37 24 1188
37 38 400
37 99 747
37 104 240
38 7 953
38 26 825
38 39 400
38 104 623
38 125 472
38 133 1062
38 134 1061
38 149 1026
38 173 1076
38 184 883
38 186 1174
38 188 409
39 40 400
39 95 1165
39 157 582
39 189 472
40 12 984
40 41 400
40 116 671
40 136 1150
41 20 206
41 21 810
41 42 400
41 50 1057
41 103 550
42 22 1189
42 32 939
42 35 660
42 43 400
42 84 269
42 126 1136
42 138 212
42 139 504
42 182 925
42 198 1164
43 44 400
43 157 807
43 182 872
43 192 837
44 1 639
44 14 630
44 19 690
44 45 400
44 164 793
44 184 887
45 8 549
45 16 317
45 41 1110
45 46 400
45 109 292
45 149 1157
46 5 965
46 10 607
46 47 400
46 97 1037
46 114 374
46 186 683
47 48 400
47 98 792
47 119 1000
47 135 585
47 190 845
48 9 396
48 49 400
48 174 351
49 13 788
49 50 400
49 68 967
49 146 472
50 19 728
50 51 400
50 85 203
50 103 377
50 198 272
51 29 456
51 52 400
51 166 1061
52 53 400
52 83 813
52 98 873
52 142 1047
52 199 486
53 4 436
53 5 1114
53 31 737
53 54 400
53 84 1060
53 183 485
53 187 406
53 191 208
54 49 1109
54 55 400
54 116 758
55 1 772
55 10 261
55 46 377
55 56 400
55 154 765
56 47 915
56 57 400
