500 1000
1 2 1000
1 54 1243
1 73 807
1 93 605
1 156 1481
1 378 1170
2 3 1000
2 446 1317
3 4 1000
3 209 1370
4 5 1000
4 53 1171
4 338 719
4 347 662
5 6 1000
5 16 1112
6 7 1000
7 8 1000
7 120 924
7 185 686
7 297 1248
8 9 1000
8 60 1399
8 270 1202
9 10 1000
9 137 1179
10 11 1000
11 12 1000
12 13 1000
12 114 730
12 349 801
13 14 1000
13 221 1174
13 333 603
13 403 1465
14 15 1000
14 201 1156
15 16 1000
15 134 971
15 332 1374
15 371 681
16 17 1000
16 27 668
16 265 824
17 18 1000
17 451 1224
18 19 1000
18 358 1428
18 393 1127
18 489 692
19 20 1000
20 21 1000
20 265 1206
21 22 1000
21 386 1281
22 8 1221
22 23 1000
22 84 1337
22 222 1488
22 291 934
23 24 1000
23 307 1048
24 25 1000
24 329 741
24 384 993
25 26 1000
25 137 788
25 340 585
26 27 1000
26 158 773
27 28 1000
27 228 550
28 29 1000
29 30 1000
29 309 1454
30 31 1000
30 51 917
31 32 1000
31 382 1204
32 33 1000
33 34 1000
33 123 590
34 35 1000
34 46 875
35 36 1000
35 143 557
36 37 1000
36 70 1452
36 78 1136
36 164 1286
37 38 1000
37 191 927
37 355 1179
38 39 1000
38 82 1085
38 157 1144
39 40 1000
39 168 945
39 424 1437
40 41 1000
40 42 1034
40 55 934
40 184 1264
40 358 1320
41 42 1000
41 275 1232
42 43 1000
42 425 566
43 44 1000
43 72 753
43 135 1357
43 175 990
44 45 1000
44 234 509
45 46 1000
45 140 981
45 239 884
45 322 1028
45 370 1360
46 47 1000
46 59 1396
46 284 1002
46 344 723
47 48 1000
47 122 1323
47 362 715
48 49 1000
48 280 569
48 358 1199
49 50 1000
49 81 976
49 230 1146
49 466 1062
50 51 1000
50 94 1100
50 457 908
51 52 1000
51 111 1140
51 493 1318
52 53 1000
52 221 539
52 302 1341
52 368 1339
52 403 1070
52 483 1029
53 54 1000
53 114 752
53 191 1126
53 308 1091
53 344 526
53 405 1313
54 55 1000
54 289 1175
54 335 1118
55 56 1000
55 428 1132
56 57 1000
56 386 728
56 389 647
57 24 960
57 58 1000
57 146 999
57 186 1393
57 422 1180
58 59 1000
58 155 716
58 225 789
58 439 838
59 60 1000
59 75 1127
60 61 1000
61 62 1000
61 469 705
62 63 1000
62 406 966
63 64 1000
63 224 1004
63 238 1123
63 438 1216
63 450 920
64 65 1000
64 397 718
64 411 1239
65 66 1000
65 192 1308
65 227 504
66 67 1000
67 49 1388
67 68 1000
67 325 1240
67 455 786
68 69 1000
68 197 733
68 253 1437
68 475 1492
69 70 1000
69 182 584
69 429 972
70 71 1000
70 118 661
70 141 1343
71 72 1000
71 234 872
71 269 1475
71 330 1120
72 13 895
72 73 1000
73 46 1070
73 74 1000
73 385 632
74 75 1000
74 96 1479
74 125 603
75 76 1000
76 77 1000
76 91 1366
76 113 1123
77 19 977
77 27 881
77 78 1000
77 84 1260
78 79 1000
78 134 617
78 401 1232
78 404 1141
78 486 513
79 48 798
79 80 1000
79 109 1009
79 310 801
79 491 1290
80 13 603
80 30 994
80 81 1000
80 412 597
81 82 1000
81 108 1160
81 195 1425
81 478 1374
82 83 1000
82 487 829
83 84 1000
83 103 976
83 265 1179
83 312 883
83 436 1368
84 85 1000
84 278 1245
84 495 939
85 86 1000
86 87 1000
86 142 1170
87 88 1000
87 374 1489
88 89 1000
88 154 643
88 164 685
88 191 1262
88 327 1121
88 443 829
88 495 1170
89 90 1000
90 91 1000
90 258 874
90 387 603
90 404 1247
91 92 1000
91 117 585
91 297 1483
92 93 1000
92 264 728
93 94 1000
93 418 750
93 456 794
94 95 1000
94 178 1084
94 305 1336
95 58 641
95 96 1000
95 120 827
95 169 1404
95 190 853
