200 1000
1 2 400
1 19 869
1 31 1023
1 49 243
1 118 503
1 142 921
2 3 400
2 8 1066
2 41 536
2 44 376
2 65 558
2 116 618
2 161 990
3 4 400
3 32 258
3 90 1133
3 161 276
4 5 400
4 8 1181
4 14 315
4 25 1007
4 103 293
4 123 333
4 139 1038
5 6 400
5 48 328
5 59 599
5 131 296
5 178 249
5 182 234
6 7 400
6 8 269
6 69 929
6 72 1000
6 88 863
6 95 1085
6 114 1100
6 163 1198
6 182 929
6 194 760
7 8 400
7 44 812
7 63 1012
7 64 900
7 127 921
8 9 400
8 39 1061
8 68 607
8 96 1189
8 176 558
9 10 400
9 94 511
9 143 429
9 171 1049
10 11 400
10 54 651
10 82 1194
10 90 738
10 103 1163
10 140 395
11 12 400
11 67 948
11 71 1149
11 81 976
11 121 478
11 132 418
11 183 950
12 13 400
12 46 738
12 82 1156
12 95 696
12 157 869
12 179 1022
13 14 400
13 128 1178
14 15 400
14 51 327
14 59 1025
14 73 1160
14 83 502
14 163 1179
15 8 1003
15 16 400
15 44 322
15 99 914
15 107 859
15 115 602
15 120 604
15 193 470
16 17 400
16 39 1025
16 117 631
16 186 399
17 2 417
17 12 466
17 18 400
17 36 561
17 55 938
17 165 205
18 7 290
18 19 400
18 136 702
18 151 380
19 18 1019
19 20 400
19 26 623
19 54 984
19 108 543
19 154 452
19 160 1086
19 164 633
19 180 419
19 196 808
20 9 817
20 15 817
20 18 1007
20 21 400
20 106 757
20 138 333
20 200 884
21 22 400
21 50 1195
21 62 1025
21 103 706
21 109 631
21 143 874
22 3 704
22 12 1005
22 21 1098
22 23 400
22 31 790
22 80 450
22 88 425
22 104 357
22 120 621
23 19 752
23 24 400
23 150 1156
23 162 667
23 174 1160
23 197 591
24 25 400
24 200 223
25 6 776
25 9 209
25 16 883
25 26 400
25 40 1097
26 10 508
26 27 400
26 51 877
26 68 252
27 8 1020
27 26 927
27 28 400
27 77 370
27 99 328
27 124 307
27 131 1002
28 29 400
28 62 393
28 75 927
28 129 780
28 176 609
28 189 779
29 30 400
29 130 203
30 31 400
30 51 1035
30 82 1133
30 98 898
30 104 1078
30 121 830
30 196 1127
31 32 400
31 66 459
31 89 598
31 105 1169
31 145 897
31 159 1179
31 175 211
32 33 400
32 64 418
32 88 1031
32 112 690
32 164 798
33 34 400
33 123 384
33 199 1084
34 12 586
34 25 1020
34 35 400
34 41 622
34 77 946
34 129 566
34 142 254
34 143 713
34 179 789
34 181 764
35 14 732
35 19 204
35 36 400
35 141 921
35 142 997
36 37 400
36 181 1072
37 28 906
