20 80
1 2 40
1 3 735
1 5 331
1 8 818
1 9 119
1 10 609
1 11 774
2 3 40
2 5 480
2 7 339
2 13 168
2 14 458
2 15 927
2 16 402
2 19 751
3 2 450
3 4 40
3 8 503
3 20 649
4 5 40
4 13 632
4 14 321
4 19 530
5 2 232
5 4 528
5 6 40
5 16 615
5 17 460
5 20 461
6 3 1002
6 4 138
6 7 40
6 8 49
6 19 358
6 20 293
7 1 987
7 8 40
7 13 136
7 18 180
8 2 301
8 9 40
8 13 938
8 17 619
8 20 776
9 1 271
9 10 40
9 18 835
10 6 407
10 9 63
10 11 40
10 13 720
10 16 890
11 4 293
11 5 267
11 12 40
11 14 549
11 19 973
12 13 40
12 14 279
12 18 399
12 19 820
13 2 791
13 6 24
13 11 707
13 12 590
13 14 40
13 18 294
14 1 898
14 2 310
14 10 582
14 11 882
14 15 40
14 20 736
15 16 40
15 17 96
15 18 980
16 1 925
16 3 1012
16 12 234
16 17 40
16 19 216
17 2 84
17 12 847
17 14 65
17 18 40
18 5 206
18 16 297
18 17 510
18 19 40
19 6 413
19 12 260
19 17 861
19 20 40
20 1 40
20 17 901
