50 100
1 2 100
1 15 327
1 32 934
2 3 100
2 8 757
2 19 333
2 24 318
2 34 904
2 36 368
3 2 598
3 4 100
3 40 723
4 5 100
4 17 503
4 43 605
5 6 100
5 26 676
6 7 100
6 26 492
7 8 100
7 13 58
7 18 333
7 47 696
8 9 100
8 22 270
8 23 749
8 28 1045
9 10 100
9 12 522
9 17 481
9 28 736
9 46 355
9 47 374
10 11 100
11 12 100
11 50 855
12 1 636
12 13 100
12 43 541
12 50 603
13 14 100
13 21 647
14 15 100
15 16 100
16 17 100
16 49 72
17 18 100
17 22 919
17 41 537
18 8 873
18 17 96
18 19 100
18 33 560
19 20 100
19 23 651
19 24 115
19 29 242
19 32 147
20 21 100
20 49 1027
21 22 100
21 40 704
22 3 859
22 4 1040
22 23 100
22 26 781
22 33 1012
22 48 611
22 49 842
23 7 282
23 24 100
23 38 616
24 5 1024
24 25 100
24 40 733
25 4 169
25 15 306
25 26 100
25 32 375
26 27 100
26 31 866
27 6 423
27 8 961
27 24 649
27 28 100
27 39 558
28 13 348
28 27 219
28 29 100
29 8 461
29 30 100
29 41 57
30 16 997
30 31 100
31 18 254
31 32 100
32 33 100
32 39 765
32 40 582
33 34 100
33 43 480
33 44 857
34 7 695
34 15 710
34 35 100
34 46 501
35 14 207
35 36 100
35 41 276
36 13 510
36 18 183
36 23 905
36 37 100
36 39 1010
36 41 964
37 16 1028
37 38 100
38 5 749
38 39 100
39 40 100
39 43 356
39 44 1029
40 21 631
40 41 100
40 45 237
41 42 100
41 48 625
42 43 100
43 8 84
43 20 500
43 22 72
43 24 406
43 44 100
44 45 100
45 11 572
45 20 86
45 30 466
45 46 100
46 26 190
46 32 814
46 44 593
46 47 100
47 1 436
47 36 383
47 48 100
48 36 678
48 49 100
49 50 100
50 1 100
