500 1500
1 2 1000
1 207 636
1 321 585
1 383 720
2 3 1000
2 274 1288
3 4 1000
3 226 561
3 288 1170
3 470 1022
4 5 1000
4 20 1115
4 36 1185
4 75 983
4 489 927
5 6 1000
5 27 1432
5 85 725
5 92 1259
5 371 950
6 7 1000
6 28 918
6 354 1445
6 360 951
7 8 1000
7 246 653
7 283 737
7 298 643
7 458 1075
8 9 1000
8 109 676
8 230 1499
8 251 744
8 280 1440
8 488 1477
9 10 1000
9 22 606
9 50 530
9 487 978
10 11 1000
10 30 1026
10 34 588
10 177 754
10 251 618
10 312 859
10 379 1070
10 420 584
10 437 1432
10 451 967
10 463 1057
11 12 1000
11 226 614
11 358 1096
12 13 1000
12 14 1410
13 14 1000
13 161 1050
13 209 829
13 280 865
13 490 1386
13 493 682
13 500 1281
14 15 1000
14 88 1421
14 111 1137
14 112 1453
14 460 1449
15 16 1000
15 104 588
15 290 1060
15 398 638
16 17 1000
16 193 879
16 271 568
17 18 1000
17 60 1451
17 142 776
17 163 974
18 19 1000
18 432 678
19 20 1000
19 28 1263
19 215 1398
19 318 1446
19 336 1243
20 21 1000
20 27 841
20 139 584
20 196 1225
20 349 880
20 375 1212
20 403 1315
20 461 1309
21 22 1000
21 34 1417
21 100 552
21 492 967
22 23 1000
22 56 506
22 142 1272
22 183 836
23 24 1000
23 195 754
23 268 1163
23 372 726
23 390 819
23 412 1370
23 446 782
24 25 1000
24 72 571
24 180 896
24 391 762
25 26 1000
25 267 1124
25 417 692
25 449 1040
25 470 1186
26 2 515
26 27 1000
26 59 612
26 450 881
27 28 1000
27 252 678
28 29 1000
28 111 650
28 166 507
28 285 1074
28 324 1284
28 334 1145
28 480 982
29 30 1000
29 400 965
30 31 1000
30 118 1486
30 134 802
30 189 663
30 446 769
30 466 940
31 32 1000
31 252 804
32 33 1000
32 47 701
32 85 685
32 147 938
32 260 1105
32 317 963
32 333 1274
32 389 1221
33 34 1000
33 111 1015
33 129 976
33 235 699
33 269 1450
33 344 974
33 348 1181
33 410 1458
33 434 1415
34 35 1000
34 52 1172
34 143 1440
34 476 920
35 36 1000
35 90 1228
35 315 956
35 362 1472
36 37 1000
36 391 1116
36 456 1451
37 38 1000
37 206 903
37 293 563
37 374 556
37 389 1123
38 15 1199
38 39 1000
38 80 1417
38 158 815
38 255 642
38 286 815
38 426 1265
39 7 715
39 16 1356
39 30 1273
39 31 1277
39 40 1000
39 133 1411
39 184 1093
39 242 1400
39 260 517
40 41 1000
40 179 764
40 188 1048
40 202 918
40 412 721
41 42 1000
41 156 989
41 200 1172
41 380 997
41 392 718
41 416 728
42 17 1465
42 43 1000
42 269 899
42 282 1409
42 423 1466
43 44 1000
44 13 1152
44 45 1000
44 105 900
44 117 918
45 46 1000
45 161 641
45 250 1345
46 11 594
46 32 1201
46 47 1000
46 157 915
46 195 1324
46 357 579
46 431 655
47 48 1000
47 145 552
47 427 569
48 49 1000
49 50 1000
49 257 1176
49 327 1019
49 361 902
50 51 1000
50 191 690
50 448 1313
51 52 1000
51 88 1146
51 188 1381
52 34 852
52 53 1000
53 54 1000
53 181 906
53 274 974
54 55 1000
54 74 604
54 113 1331
54 316 1164
54 352 787
55 56 1000
55 185 609
55 278 1380
55 449 756
56 57 1000
56 179 1261
56 222 975
57 58 1000
58 30 741
58 59 1000
58 113 635
58 264 1099
58 319 869
58 372 1222
59 60 1000
59 103 1077
59 327 1183
59 390 1173
60 20 1166
60 61 1000
60 184 1001
60 330 1352
61 8 764
61 62 1000
61 166 1499
61 412 868
62 63 1000
62 153 1138
62 241 1227
63 64 1000
63 205 909
63 302 1447
64 65 1000
65 66 1000
65 69 779
65 165 618
65 196 845
65 342 835
66 67 1000
66 74 764
66 303 705
67 68 1000
67 105 935
67 132 802
67 432 599
68 69 1000
68 187 505
68 231 609
68 364 688
69 57 513
69 70 1000
69 161 1298
69 236 821
69 410 1208
69 496 748
70 71 1000
70 104 978
71 4 861
71 57 647
71 72 1000
71 215 1444
72 34 1293
72 55 566
72 73 1000
72 136 765
72 266 1110
72 277 1391
72 387 953
72 394 1352
73 3 935
73 74 1000
73 266 1470
74 75 1000
74 180 1247
74 306 1087
75 76 1000
75 276 568
75 296 1089
75 304 1436
75 435 804
76 17 720
76 77 1000
76 88 675
77 78 1000
77 145 618
77 354 828
77 422 1469
78 63 529
78 79 1000
78 197 803
79 80 1000
79 178 996
79 233 824
79 254 1148
79 386 1351
79 390 635
80 81 1000
80 83 1328
80 195 1092
81 71 933
81 82 1000
81 169 750
81 244 1212
82 83 1000
82 442 562
83 84 1000
83 102 1127
83 227 649
84 85 1000
84 385 1398
84 438 931
84 458 658
84 459 1479
84 490 941
85 86 1000
85 304 1275
86 47 538
86 77 1161
86 87 1000
86 206 707
