200 400
1 2 400
1 152 811
2 3 400
2 77 913
2 132 1087
3 4 400
4 5 400
4 118 289
4 191 1076
5 6 400
5 90 929
5 136 1133
5 143 376
6 7 400
6 110 365
6 189 1131
6 196 955
7 8 400
8 9 400
8 133 580
8 165 856
8 182 1111
9 10 400
9 21 797
9 169 395
10 11 400
10 20 644
11 12 400
11 183 1109
11 194 1013
12 13 400
12 62 877
12 87 905
13 14 400
13 89 219
13 150 880
14 15 400
14 102 922
15 11 230
15 16 400
15 34 1054
15 119 275
15 183 454
15 190 297
16 17 400
16 40 574
16 96 940
16 173 528
16 181 800
17 18 400
17 80 982
17 184 233
18 9 859
18 19 400
18 28 354
18 41 276
19 20 400
20 12 310
20 21 400
20 97 623
20 111 716
20 141 939
21 22 400
21 50 889
21 158 416
22 23 400
22 184 897
23 21 1069
23 24 400
24 5 547
24 25 400
24 28 414
24 34 452
24 67 678
24 184 873
25 6 229
25 26 400
25 63 233
25 90 703
25 122 1093
26 27 400
27 28 400
27 189 623
28 29 400
28 102 1170
29 30 400
29 36 717
29 163 248
29 191 459
30 31 400
30 111 430
31 30 1033
31 32 400
31 121 240
31 137 825
32 7 734
32 33 400
32 45 776
33 34 400
33 114 791
34 35 400
34 68 858
34 136 1073
35 15 699
35 36 400
36 26 704
36 37 400
37 38 400
38 39 400
39 40 400
39 158 447
40 41 400
41 30 1104
41 42 400
41 104 321
42 43 400
42 44 395
42 48 310
42 138 385
42 143 1166
43 44 400
44 45 400
44 46 874
45 46 400
45 109 320
46 37 961
46 47 400
46 58 658
46 111 826
47 48 400
48 38 607
48 49 400
48 139 1083
48 165 390
49 50 400
49 61 746
49 101 866
49 182 871
50 51 400
51 52 400
51 144 693
51 171 1123
52 53 400
52 78 1116
52 101 386
53 2 753
53 30 686
53 54 400
53 158 933
53 185 889
54 55 400
54 108 986
55 56 400
55 161 310
56 18 608
56 57 400
57 58 400
57 124 1006
58 47 1046
58 59 400
58 110 784
58 159 383
59 60 400
60 61 400
60 63 836
61 62 400
61 185 473
62 13 430
62 63 400
62 129 1020
63 42 749
63 64 400
63 72 456
64 65 400
65 47 601
65 51 876
65 66 400
65 184 278
66 44 1114
66 58 1117
66 67 400
66 139 391
67 68 400
67 155 620
68 28 813
68 34 704
68 64 599
68 69 400
68 120 264
69 3 1089
69 33 678
69 70 400
69 167 317
70 71 400
70 95 1061
70 104 1079
70 148 821
71 72 400
71 125 235
71 141 808
72 73 400
72 175 1097
73 8 334
73 74 400
74 75 400
74 109 1057
74 115 705
75 60 695
75 76 400
76 77 400
76 153 310
76 196 1123
77 40 922
77 78 400
78 79 400
78 160 909
78 162 951
79 18 429
79 80 400
79 84 223
79 153 811
80 41 498
80 48 882
80 81 400
80 146 534
81 49 1146
81 68 904
81 82 400
81 97 469
81 184 637
82 3 491
82 33 513
82 83 400
83 84 400
83 101 880
84 19 435
84 77 838
84 85 400
84 93 303
84 131 1131
84 182 719
85 41 647
85 86 400
85 124 1120
86 49 597
86 87 400
86 143 1050
87 88 400
87 118 984
87 184 352
88 34 971
88 89 400
88 134 538
89 12 307
89 90 400
89 112 302
90 91 400
90 162 714
90 172 954
91 54 499
91 92 400
91 134 811
92 21 388
92 93 400
92 162 242
93 94 400
93 106 675
94 21 1198
94 56 990
94 95 400
94 157 937
94 165 231
95 73 510
95 89 1173
95 96 400
95 133 591
96 97 400
97 27 501
97 68 1106
97 95 1137
97 98 400
98 52 753
98 99 400
98 119 1011
98 134 964
99 63 394
99 100 400
100 4 950
100 71 1181
100 101 400
101 19 907
101 22 436
101 102 400
101 124 672
102 62 418
102 103 400
102 152 1173
102 178 1188
102 180 966
103 104 400
103 109 338
103 154 747
104 56 938
104 84 523
104 105 400
104 113 799
104 166 259
105 91 1008
105 106 400
106 107 400
107 39 466
107 78 642
107 83 864
107 108 400
107 140 520
107 192 736
108 13 387
108 46 860
108 109 400
108 133 768
109 10 880
109 13 661
109 60 1118
109 110 400
109 116 694
109 193 1060
110 111 400
110 146 272
110 197 284
111 37 512
111 101 1110
111 112 400
111 121 1110
112 113 400
112 178 615
113 49 515
113 114 400
113 177 1159
114 85 1139
114 115 400
114 174 592
114 195 471
115 72 240
115 116 400
115 174 1031
116 90 418
116 117 400
116 143 835
116 157 1121
116 159 319
117 31 625
117 118 400
118 119 400
118 182 1174
119 13 227
119 38 266
119 120 400
119 129 779
120 8 1114
120 121 400
120 144 795
121 77 691
121 122 400
121 157 1097
122 29 794
122 123 400
123 61 640
123 124 400
124 55 914
124 125 400
124 168 889
124 187 407
125 126 400
125 136 926
126 7 796
126 127 400
126 151 778
127 56 1045
127 128 400
127 143 1043
128 113 829
128 129 400
129 130 400
130 70 885
130 131 400
130 141 1050
131 55 317
131 75 1184
131 96 802
131 117 523
131 121 1169
131 132 400
132 106 677
132 123 295
132 133 400
133 74 1179
133 103 506
133 134 400
134 135 400
135 12 1173
135 96 583
135 111 252
135 136 400
136 72 763
136 111 610
136 137 400
137 31 267
137 63 708
137 118 1026
137 138 400
138 139 400
139 55 1180
139 78 495
139 87 726
139 140 400
139 144 496
140 141 400
140 172 909
140 194 700
141 142 400
141 187 272
142 26 595
