50 200
1 2 100
1 7 700
1 15 275
1 47 444
1 49 896
2 3 100
2 4 282
2 6 78
2 8 418
3 1 796
3 4 100
3 7 364
3 28 410
3 30 1016
3 42 134
3 44 949
4 5 100
4 8 538
4 14 151
4 20 958
5 6 100
5 9 256
5 14 345
5 47 410
6 7 100
6 33 636
6 39 872
7 5 995
7 6 210
7 8 100
7 14 366
7 48 565
8 7 52
8 9 100
8 15 730
8 19 438
9 10 100
9 17 678
9 23 50
9 32 458
10 5 446
10 11 100
10 19 108
10 38 942
10 41 613
11 2 864
11 12 100
11 24 532
11 31 216
11 34 390
11 42 346
11 48 496
12 10 250
12 13 100
12 29 322
12 30 500
12 32 1018
12 50 272
13 14 100
13 32 318
13 37 346
13 47 226
14 4 789
14 15 100
14 20 832
14 25 622
14 30 729
14 33 402
15 16 100
15 31 261
15 40 825
15 42 361
15 45 350
16 17 100
16 39 159
16 49 99
17 2 462
17 18 100
17 31 860
17 39 650
17 44 178
17 50 185
18 6 293
18 19 100
18 30 969
18 36 504
18 43 358
19 20 100
19 34 391
19 41 762
19 50 863
20 10 626
20 21 100
20 25 1024
20 27 611
20 47 139
21 4 66
21 5 987
21 7 432
21 10 1033
21 13 1020
21 22 100
22 5 534
22 23 100
22 25 980
22 27 946
22 35 617
22 39 492
22 41 1037
22 42 1025
22 49 405
23 15 678
23 24 100
24 23 570
24 25 100
24 28 314
24 38 153
24 50 97
25 6 978
25 10 324
25 18 630
25 24 995
25 26 100
26 1 671
26 3 672
26 10 401
26 12 1041
26 27 100
26 41 871
26 49 891
27 28 100
27 33 146
27 37 104
28 20 343
28 29 100
28 36 235
28 42 451
29 1 64
29 15 399
29 30 100
29 41 692
30 8 837
30 21 860
30 31 100
31 3 564
31 14 941
31 15 916
31 25 904
31 28 751
31 32 100
31 43 638
31 48 1005
32 7 947
32 23 567
32 33 100
33 4 351
33 20 984
33 34 100
33 36 517
33 47 736
33 50 1020
34 10 1047
34 23 1047
34 35 100
35 2 413
35 3 227
35 19 63
35 25 433
35 36 100
35 39 402
36 2 444
36 4 119
36 6 962
36 17 70
36 37 100
37 11 296
37 38 100
37 39 184
37 40 781
38 26 197
38 34 384
38 36 547
38 37 753
38 39 100
39 5 267
39 40 100
40 5 1005
40 13 964
40 15 765
40 41 100
40 43 681
41 7 407
41 32 639
41 42 100
41 46 1026
42 7 70
42 43 100
43 19 190
43 20 1001
43 22 987
43 30 283
43 39 329
43 44 100
43 48 588
44 25 252
44 28 122
44 30 634
44 33 258
44 41 901
44 45 100
44 50 447
45 11 395
45 22 949
45 23 714
45 46 100
46 9 817
46 25 997
46 26 958
46 33 930
46 47 100
46 48 115
47 4 390
47 35 107
47 48 100
48 13 854
48 21 730
48 27 402
48 49 100
49 1 467
49 6 485
49 8 418
49 21 329
49 29 312
49 41 776
49 43 636
49 48 1046
49 50 100
50 1 100
50 3 786
50 12 370
50 19 392
50 40 301
50 41 994
50 44 264
50 49 113
